0,0,0,0,0
9,24,0,0,198
6,17,0,0,203
12,17,1,0,207
18,24,0,0,504
18,20,0,0,225
26,18,0,0,244
5,22,0,0,254
7,23,0,0,258
23,7,0,0,263
24,21,0,0,267
11,6,0,0,278
9,19,0,0,284
22,21,0,0,286
14,24,0,0,287
3,15,0,0,289
7,16,0,0,295
2,26,0,0,311
22,23,0,0,315
10,7,0,0,318
17,21,0,0,357
5,19,0,0,256
9,24,0,0,199
12,17,1,0,208
12,17,1,0,209
12,17,1,0,210
12,17,1,0,211
12,17,1,0,212
12,17,1,0,213
12,17,1,0,214
12,17,1,0,215
12,17,1,0,216
12,17,1,0,217
12,17,1,0,218
12,17,1,0,219
18,24,0,0,505
18,24,0,0,506
18,24,0,0,507
18,24,0,0,508
18,24,0,0,509
26,18,0,0,245
26,18,0,0,246
26,18,0,0,247
26,18,0,0,248
26,18,0,0,249
7,23,0,0,259
23,7,0,0,264
24,21,0,0,271
24,21,0,0,272
24,21,0,0,273
24,21,0,0,518
24,21,0,0,519
24,21,0,0,520
24,21,0,0,521
24,21,0,0,522
24,21,0,0,523
24,21,0,0,524
24,21,0,0,525
24,21,0,0,526
24,21,0,0,527
24,21,0,0,528
24,21,0,0,529
24,21,0,0,530
24,21,0,0,531
11,6,0,0,279
11,6,0,0,280
11,6,0,0,281
11,6,0,0,282
11,6,0,0,283
9,19,0,0,285
22,21,0,0,512
22,21,0,0,513
3,15,0,0,290
3,15,0,0,291
3,15,0,0,292
3,15,0,0,293
3,15,0,0,294
7,16,0,0,296
7,16,0,0,297
7,16,0,0,298
7,16,0,0,299
7,16,0,0,300
7,16,0,0,301
7,16,0,0,302
7,16,0,0,303
17,21,0,0,358
17,21,0,0,359
17,21,0,0,360
17,21,0,0,361
2,26,0,0,312
